device,subject,block,run,batterystats_Joule_calculated,version
j7duo2,nicovideo,360p,1,642.31596,web
j7duo2,nicovideo,360p,2,293.45904,web
j7duo2,nicovideo,360p,3,616.7952,web
j7duo2,nicovideo,360p,4,565.9070399999999,web
j7duo2,nicovideo,360p,5,522.1656,web
j7duo2,bfmtv,Adaptive,1,1512.8208,web
j7duo2,bfmtv,Adaptive,2,561.80088,web
j7duo2,bfmtv,Adaptive,3,673.3188,web
j7duo2,bfmtv,Adaptive,4,732.4059599999998,web
j7duo2,bfmtv,Adaptive,5,716.44392,web
j7duo2,crunchyroll,360p,1,3315.564,web
j7duo2,crunchyroll,360p,2,4207.644,web
j7duo2,crunchyroll,360p,3,3668.6160000000004,web
j7duo2,crunchyroll,360p,4,3179.7252,web
j7duo2,crunchyroll,360p,5,1038.8397599999998,web
j7duo2,dailymotion,360p,1,943.2612,web
j7duo2,dailymotion,360p,2,1014.15024,web
j7duo2,dailymotion,360p,3,819.4446,web
j7duo2,dailymotion,360p,4,883.5591599999999,web
j7duo2,dailymotion,360p,5,901.4227199999999,web
j7duo2,imdb,Adaptive,1,652.79664,web
j7duo2,imdb,Adaptive,2,199.13292,web
j7duo2,imdb,Adaptive,3,596.2068,web
j7duo2,imdb,Adaptive,4,542.1513599999998,web
j7duo2,imdb,Adaptive,5,620.784,web
j7duo2,nos,Adaptive,1,463.32720000000006,web
j7duo2,nos,Adaptive,2,537.89184,web
j7duo2,nos,Adaptive,3,532.2887999999999,web
j7duo2,nos,Adaptive,4,519.4173599999999,web
j7duo2,nos,Adaptive,4,541.66896,web
j7duo2,plex,Adaptive,1,1217.6892,web
j7duo2,plex,Adaptive,2,1397.2895999999998,web
j7duo2,plex,Adaptive,3,1428.7752,web
j7duo2,plex,Adaptive,4,1390.3866,web
j7duo2,plex,Adaptive,5,1169.37612,web
j7duo2,ted,Adaptive,1,1476.3924,web
j7duo2,ted,Adaptive,2,1332.4089600000002,web
j7duo2,ted,Adaptive,3,1323.8035200000002,web
j7duo2,ted,Adaptive,4,1378.34784,web
j7duo2,ted,Adaptive,5,1310.9104800000002,web
j7duo2,vimeo,360p,1,1314.57672,web
j7duo2,vimeo,360p,2,952.2651599999999,web
j7duo2,vimeo,360p,3,1279.3057199999998,web
j7duo2,vimeo,360p,4,1172.592,web
j7duo2,vimeo,360p,5,729.77472,web
j7duo2,youtube,360p,1,486.603,web
j7duo2,youtube,360p,2,483.6085199999999,web
j7duo2,youtube,360p,3,473.29920000000004,web
j7duo2,youtube,360p,4,449.33724,web
j7duo2,youtube,360p,5,466.95599999999996,web
j7duo2,crunchyroll,360p,1,1899.3996000000002,native
j7duo2,crunchyroll,360p,2,1852.812,native
j7duo2,crunchyroll,360p,3,1631.232,native
j7duo2,crunchyroll,360p,4,2418.7392,native
j7duo2,crunchyroll,360p,5,1546.3727999999999,native
j7duo2,dailymotion,360p,1,762.88752,native
j7duo2,dailymotion,360p,2,716.22864,native
j7duo2,dailymotion,360p,3,750.84192,native
j7duo2,dailymotion,360p,4,737.5291199999999,native
j7duo2,dailymotion,360p,5,848.718,native
j7duo2,youtube,360p,1,474.72048,native
j7duo2,youtube,360p,2,1323.70308,native
j7duo2,youtube,360p,3,549.7912799999999,native
j7duo2,youtube,360p,4,459.9126,native
j7duo2,youtube,360p,5,453.01248,native
j7duo2,imdb,Adaptive,1,2138.688,native
j7duo2,imdb,Adaptive,2,1264.2624,native
j7duo2,imdb,Adaptive,3,2338.0992,native
j7duo2,imdb,Adaptive,4,1457.9712,native
j7duo2,imdb,Adaptive,5,2357.5499999999997,native
j7duo2,bfmtv,Adaptive,1,367.27236,native
j7duo2,bfmtv,Adaptive,2,243.62424000000004,native
j7duo2,bfmtv,Adaptive,3,248.94935999999998,native
j7duo2,bfmtv,Adaptive,4,246.2868,native
j7duo2,bfmtv,Adaptive,5,248.63616000000002,native
j7duo2,plex,Adaptive,1,1388.2248,native
j7duo2,plex,Adaptive,2,2246.976,native
j7duo2,plex,Adaptive,3,1444.9536,native
j7duo2,plex,Adaptive,4,1562.1119999999999,native
j7duo2,plex,Adaptive,5,1085.9940000000001,native
j7duo2,ted,Adaptive,1,1464.408,native
j7duo2,ted,Adaptive,2,1025.0855999999999,native
j7duo2,ted,Adaptive,3,1034.8992,native
j7duo2,ted,Adaptive,4,1304.0920800000001,native
j7duo2,ted,Adaptive,5,1206.153,native
j7duo2,vimeo,360p,1,677.32704,native
j7duo2,vimeo,360p,2,900.1404,native
j7duo2,vimeo,360p,3,711.3412800000001,native
j7duo2,vimeo,360p,4,699.5998800000001,native
j7duo2,vimeo,360p,5,969.71616,native
j7duo2,nicovideo,360p,1,728.2976399999999,native
j7duo2,nicovideo,360p,2,702.9907199999999,native
j7duo2,nicovideo,360p,3,622.6394399999999,native
j7duo2,nicovideo,360p,4,315.3888,native
j7duo2,nicovideo,360p,5,700.0704,native
j7duo2,nos,Adaptive,1,683.4276,native
j7duo2,nos,Adaptive,2,683.4276,native
j7duo2,nos,Adaptive,3,733.9622400000001,native
j7duo2,nos,Adaptive,4,616.29552,native
j7duo2,nos,Adaptive,5,621.2322,native
