device,subject,batterystats_Joule_calculated,block
j7duo2,com-imdb-mobile,1911.31416,Adaptive
j7duo2,com-ted-android,1206.927576,Adaptive
j7duo2,com-crunchyroll-crunchyroid,1869.71112,360p
j7duo2,jp-nicovideo-android,613.8774,360p
j7duo2,com-google-android-youtube,652.2279839999999,360p
j7duo2,com-plexapp-android,1545.6520800000003,Adaptive
j7duo2,nl-nos-app,667.669032,Adaptive
j7duo2,com-dailymotion-dailymotion,763.2410400000001,360p
j7duo2,com-nextradiotv-bfmtvandroid,270.953784,Adaptive
j7duo2,com-vimeo-android-videoapp,791.624952,360p
