device,subject,browser,block,run,batterystats_Joule_calculated
j7duo2,nicovideo,chrome,360p,1,642.31596
j7duo2,nicovideo,chrome,360p,2,293.45904
j7duo2,nicovideo,chrome,360p,3,616.7952
j7duo2,nicovideo,chrome,360p,4,565.9070399999999
j7duo2,nicovideo,chrome,360p,5,522.1656
j7duo2,bfmtv,chrome,Adaptive,1,1512.8208
j7duo2,bfmtv,chrome,Adaptive,2,561.80088
j7duo2,bfmtv,chrome,Adaptive,3,673.3188
j7duo2,bfmtv,chrome,Adaptive,4,732.4059599999998
j7duo2,bfmtv,chrome,Adaptive,5,716.44392
j7duo2,crunchyroll,chrome,360p,1,3315.564
j7duo2,crunchyroll,chrome,360p,2,4207.644
j7duo2,crunchyroll,chrome,360p,3,3668.6160000000004
j7duo2,crunchyroll,chrome,360p,4,3179.7252
j7duo2,crunchyroll,chrome,360p,5,1038.8397599999998
j7duo2,dailymotion,chrome,360p,1,943.2612
j7duo2,dailymotion,chrome,360p,2,1014.15024
j7duo2,dailymotion,chrome,360p,3,819.4446
j7duo2,dailymotion,chrome,360p,4,883.5591599999999
j7duo2,dailymotion,chrome,360p,5,901.4227199999999
j7duo2,imdb,chrome,Adaptive,1,652.79664
j7duo2,imdb,chrome,Adaptive,2,199.13292
j7duo2,imdb,chrome,Adaptive,3,596.2068
j7duo2,imdb,chrome,Adaptive,4,542.1513599999998
j7duo2,imdb,chrome,Adaptive,5,620.784
j7duo2,nos,chrome,Adaptive,1,463.32720000000006
j7duo2,nos,chrome,Adaptive,2,537.89184
j7duo2,nos,chrome,Adaptive,3,532.2887999999999
j7duo2,nos,chrome,Adaptive,4,519.4173599999999
j7duo2,nos,chrome,Adaptive,4,541.66896
j7duo2,plex,chrome,Adaptive,1,1217.6892
j7duo2,plex,chrome,Adaptive,2,1397.2895999999998
j7duo2,plex,chrome,Adaptive,3,1428.7752
j7duo2,plex,chrome,Adaptive,4,1390.3866
j7duo2,plex,chrome,Adaptive,5,1169.37612
j7duo2,ted,chrome,Adaptive,1,1476.3924
j7duo2,ted,chrome,Adaptive,2,1332.4089600000002
j7duo2,ted,chrome,Adaptive,3,1323.8035200000002
j7duo2,ted,chrome,Adaptive,4,1378.34784
j7duo2,ted,chrome,Adaptive,5,1310.9104800000002
j7duo2,vimeo,chrome,360p,1,1314.57672
j7duo2,vimeo,chrome,360p,2,952.2651599999999
j7duo2,vimeo,chrome,360p,3,1279.3057199999998
j7duo2,vimeo,chrome,360p,4,1172.592
j7duo2,vimeo,chrome,360p,5,729.77472
j7duo2,youtube,chrome,360p,1,486.603
j7duo2,youtube,chrome,360p,2,483.6085199999999
j7duo2,youtube,chrome,360p,3,473.29920000000004
j7duo2,youtube,chrome,360p,4,449.33724
j7duo2,youtube,chrome,360p,5,466.95599999999996
